epoch,class,box_loss,mAP50,mAP50-95,precision,recall,fps
63,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
64,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
65,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
66,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
67,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
68,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
69,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
70,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
71,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
72,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
